Time,PAR,tsec,date
2013-07-27T01:11:14Z,1.2,4274,2013-07-27
2013-07-27T01:11:44Z,1.2,4304,2013-07-27
2013-07-27T01:12:14Z,1.2,4334,2013-07-27
2013-07-27T01:12:44Z,1.2,4364,2013-07-27
2013-07-27T01:13:14Z,1.2,4394,2013-07-27
2013-07-27T01:13:44Z,1.2,4424,2013-07-27
2013-07-27T01:14:14Z,1.2,4454,2013-07-27
2013-07-27T01:14:44Z,1.2,4484,2013-07-27
2013-07-27T01:15:14Z,1.2,4514,2013-07-27
2013-07-27T01:15:44Z,1.2,4544,2013-07-27
2013-07-27T01:16:14Z,1.2,4574,2013-07-27
2013-07-27T01:16:44Z,1.2,4604,2013-07-27
2013-07-27T01:17:14Z,1.2,4634,2013-07-27
2013-07-27T01:17:44Z,1.2,4664,2013-07-27
2013-07-27T01:18:14Z,1.2,4694,2013-07-27
2013-07-27T01:18:44Z,1.2,4724,2013-07-27
2013-07-27T01:19:14Z,1.2,4754,2013-07-27
2013-07-27T01:19:44Z,1.2,4784,2013-07-27
2013-07-27T01:20:14Z,1.2,4814,2013-07-27
2013-07-27T01:20:44Z,1.2,4844,2013-07-27
2013-07-27T01:21:14Z,1.2,4874,2013-07-27
2013-07-27T01:21:44Z,1.2,4904,2013-07-27
2013-07-27T01:22:14Z,1.2,4934,2013-07-27
2013-07-27T01:22:44Z,1.2,4964,2013-07-27
2013-07-27T01:23:14Z,1.2,4994,2013-07-27
2013-07-27T01:23:44Z,1.2,5024,2013-07-27
2013-07-27T01:24:14Z,1.2,5054,2013-07-27
2013-07-27T01:24:44Z,1.2,5084,2013-07-27
2013-07-27T01:25:14Z,1.2,5114,2013-07-27
2013-07-27T01:25:44Z,1.2,5144,2013-07-27
2013-07-27T01:26:14Z,1.2,5174,2013-07-27
2013-07-27T01:26:44Z,1.2,5204,2013-07-27
2013-07-27T01:27:14Z,1.2,5234,2013-07-27
2013-07-27T01:27:44Z,1.2,5264,2013-07-27
2013-07-27T01:28:14Z,1.2,5294,2013-07-27
2013-07-27T01:28:44Z,1.2,5324,2013-07-27
2013-07-27T01:29:14Z,1.2,5354,2013-07-27
2013-07-27T01:29:44Z,1.2,5384,2013-07-27
2013-07-27T01:30:14Z,1.2,5414,2013-07-27
2013-07-27T01:30:44Z,1.2,5444,2013-07-27
2013-07-27T01:31:14Z,1.2,5474,2013-07-27
2013-07-27T01:31:44Z,1.2,5504,2013-07-27
2013-07-27T01:32:14Z,1.2,5534,2013-07-27
2013-07-27T01:32:44Z,1.2,5564,2013-07-27
2013-07-27T01:33:14Z,1.2,5594,2013-07-27
2013-07-27T01:33:44Z,1.2,5624,2013-07-27
2013-07-27T01:34:14Z,1.2,5654,2013-07-27
2013-07-27T01:34:44Z,1.2,5684,2013-07-27
2013-07-27T01:35:14Z,1.2,5714,2013-07-27
2013-07-27T01:35:44Z,1.2,5744,2013-07-27
2013-07-27T01:36:14Z,1.2,5774,2013-07-27
2013-07-27T01:36:44Z,1.2,5804,2013-07-27
2013-07-27T01:37:14Z,1.2,5834,2013-07-27
2013-07-27T01:37:44Z,1.2,5864,2013-07-27
2013-07-27T01:38:14Z,1.2,5894,2013-07-27
2013-07-27T01:38:44Z,1.2,5924,2013-07-27
2013-07-27T01:39:14Z,1.2,5954,2013-07-27
2013-07-27T01:39:44Z,1.2,5984,2013-07-27
2013-07-27T01:40:14Z,1.2,6014,2013-07-27
2013-07-27T01:40:44Z,1.2,6044,2013-07-27
2013-07-27T01:41:14Z,1.2,6074,2013-07-27
2013-07-27T01:41:44Z,1.2,6104,2013-07-27
2013-07-27T01:42:14Z,1.2,6134,2013-07-27
2013-07-27T01:42:44Z,1.2,6164,2013-07-27
2013-07-27T01:43:14Z,1.2,6194,2013-07-27
2013-07-27T01:43:44Z,1.2,6224,2013-07-27
2013-07-27T01:44:14Z,1.2,6254,2013-07-27
2013-07-27T01:44:44Z,1.2,6284,2013-07-27
2013-07-27T01:45:14Z,1.2,6314,2013-07-27
2013-07-27T01:45:44Z,1.2,6344,2013-07-27
2013-07-27T01:46:14Z,1.2,6374,2013-07-27
2013-07-27T01:46:44Z,1.2,6404,2013-07-27
2013-07-27T01:47:14Z,1.2,6434,2013-07-27
2013-07-27T01:47:44Z,1.2,6464,2013-07-27
2013-07-27T01:48:14Z,1.2,6494,2013-07-27
2013-07-27T01:48:44Z,1.2,6524,2013-07-27
2013-07-27T01:49:14Z,1.2,6554,2013-07-27
2013-07-27T01:49:44Z,1.2,6584,2013-07-27
2013-07-27T01:50:14Z,1.2,6614,2013-07-27
2013-07-27T01:50:44Z,1.2,6644,2013-07-27
2013-07-27T01:51:14Z,1.2,6674,2013-07-27
2013-07-27T01:51:44Z,1.2,6704,2013-07-27
2013-07-27T01:52:14Z,1.2,6734,2013-07-27
2013-07-27T01:52:44Z,1.2,6764,2013-07-27
2013-07-27T01:53:14Z,1.2,6794,2013-07-27
2013-07-27T01:53:44Z,1.2,6824,2013-07-27
2013-07-27T01:54:14Z,1.2,6854,2013-07-27
2013-07-27T01:54:44Z,1.2,6884,2013-07-27
2013-07-27T01:55:14Z,1.2,6914,2013-07-27
2013-07-27T01:55:44Z,1.2,6944,2013-07-27
2013-07-27T01:56:14Z,1.2,6974,2013-07-27
2013-07-27T01:56:44Z,1.2,7004,2013-07-27
2013-07-27T01:57:14Z,1.2,7034,2013-07-27
2013-07-27T01:57:44Z,1.2,7064,2013-07-27
2013-07-27T01:58:14Z,1.2,7094,2013-07-27
2013-07-27T01:58:44Z,1.2,7124,2013-07-27
2013-07-27T01:59:14Z,1.2,7154,2013-07-27
2013-07-27T01:59:44Z,1.2,7184,2013-07-27
2013-07-27T02:00:14Z,1.2,7214,2013-07-27
2013-07-27T02:00:44Z,1.2,7244,2013-07-27
2013-07-27T02:01:14Z,1.2,7274,2013-07-27
2013-07-27T02:01:44Z,1.2,7304,2013-07-27
2013-07-27T02:02:14Z,1.2,7334,2013-07-27
2013-07-27T02:02:44Z,1.2,7364,2013-07-27
2013-07-27T02:03:14Z,1.2,7394,2013-07-27
2013-07-27T02:03:44Z,1.2,7424,2013-07-27
2013-07-27T02:04:14Z,1.2,7454,2013-07-27
2013-07-27T02:04:44Z,1.2,7484,2013-07-27
2013-07-27T02:05:14Z,1.2,7514,2013-07-27
2013-07-27T02:05:44Z,1.2,7544,2013-07-27
2013-07-27T02:06:14Z,1.2,7574,2013-07-27
2013-07-27T02:06:44Z,1.2,7604,2013-07-27
2013-07-27T02:07:14Z,1.2,7634,2013-07-27
2013-07-27T02:07:44Z,1.2,7664,2013-07-27
2013-07-27T02:08:14Z,1.2,7694,2013-07-27
2013-07-27T02:08:44Z,1.2,7724,2013-07-27
2013-07-27T02:09:14Z,1.2,7754,2013-07-27
2013-07-27T02:09:44Z,1.2,7784,2013-07-27
2013-07-27T02:10:14Z,1.2,7814,2013-07-27
2013-07-27T02:10:44Z,1.2,7844,2013-07-27
2013-07-27T02:11:14Z,1.2,7874,2013-07-27
2013-07-27T02:11:44Z,1.2,7904,2013-07-27
